seed,method,n_iter,dataset,value
0,random,0,40922,1.0201729998938303
0,random,1,40922,0.2336580738332004
0,random,2,40922,0.8193448824605485
0,random,3,40922,0.24572060551623084
0,random,4,40922,0.27333171451715216
0,random,5,40922,0.0
0,random,6,40922,0.23982836874128308
0,random,7,40922,0.0
0,random,8,40922,0.03367018159492356
0,random,9,40922,0.0
0,margin,0,40922,1.5191453863694415
0,margin,1,40922,0.07582410921959967
0,margin,2,40922,0.6252665029275942
0,margin,3,40922,0.07880348839853517
0,margin,4,40922,0.016434245835074975
0,margin,5,40922,0.08535380222026122
0,margin,6,40922,0.14551068158536196
0,margin,7,40922,0.22072275150645693
0,margin,8,40922,0.013667207810360744
0,margin,9,40922,0.0
0,confidence,0,40922,1.5191453863694415
0,confidence,1,40922,0.07582410921959967
0,confidence,2,40922,0.6252665029275942
0,confidence,3,40922,0.07880348839853517
0,confidence,4,40922,0.016434245835074975
0,confidence,5,40922,0.08535380222026122
0,confidence,6,40922,0.14551068158536196
0,confidence,7,40922,0.22072275150645693
0,confidence,8,40922,0.013667207810360744
0,confidence,9,40922,0.0
0,entropy,0,40922,1.5191453863694415
0,entropy,1,40922,0.07582410921959967
0,entropy,2,40922,0.6252665029275942
0,entropy,3,40922,0.07880348839853517
0,entropy,4,40922,0.016434245835074975
0,entropy,5,40922,0.08535380222026122
0,entropy,6,40922,0.14551068158536196
0,entropy,7,40922,0.22072275150645693
0,entropy,8,40922,0.013667207810360744
0,entropy,9,40922,0.0
0,kmeans,0,40922,1.7626222064393673
0,kmeans,1,40922,0.1897082258377692
0,kmeans,2,40922,0.2270938810334745
0,kmeans,3,40922,0.2998972965234967
0,kmeans,4,40922,0.08456648794059941
0,kmeans,5,40922,0.01394409131624236
0,kmeans,6,40922,0.04257927018693222
0,kmeans,7,40922,0.1543772467440817
0,kmeans,8,40922,0.0
0,kmeans,9,40922,0.0
0,wkmeans,0,40922,2.499193841881428
0,wkmeans,1,40922,0.2269169727926658
0,wkmeans,2,40922,0.2299523254420197
0,wkmeans,3,40922,0.05364423518286445
0,wkmeans,4,40922,0.0
0,wkmeans,5,40922,0.0
0,wkmeans,6,40922,0.0
0,wkmeans,7,40922,0.07802939461590988
0,wkmeans,8,40922,0.04179230646078642
0,wkmeans,9,40922,0.05971743363547954
1,random,0,40922,0.9257896757974724
1,random,1,40922,0.1467898673578711
1,random,2,40922,0.4090248806856404
1,random,3,40922,0.13682092362254744
1,random,4,40922,0.07298160516666427
1,random,5,40922,0.03128699072771352
1,random,6,40922,0.033650558142369134
1,random,7,40922,0.02470838711471708
1,random,8,40922,0.019711435035382568
1,random,9,40922,0.0
1,margin,0,40922,0.8036904813834391
1,margin,1,40922,0.056080096963075435
1,margin,2,40922,0.0
1,margin,3,40922,0.19348933543901806
1,margin,4,40922,0.0
1,margin,5,40922,0.16432991439961153
1,margin,6,40922,0.22153974285706576
1,margin,7,40922,0.0
1,margin,8,40922,0.4447355033294802
1,margin,9,40922,0.17326949277041728
1,confidence,0,40922,0.8036904813834391
1,confidence,1,40922,0.056080096963075435
1,confidence,2,40922,0.0
1,confidence,3,40922,0.19348933543901806
1,confidence,4,40922,0.0
1,confidence,5,40922,0.16432991439961153
1,confidence,6,40922,0.22153974285706576
1,confidence,7,40922,0.0
1,confidence,8,40922,0.4447355033294802
1,confidence,9,40922,0.17326949277041728
1,entropy,0,40922,0.8036904813834391
1,entropy,1,40922,0.056080096963075435
1,entropy,2,40922,0.0
1,entropy,3,40922,0.19348933543901806
1,entropy,4,40922,0.0
1,entropy,5,40922,0.16432991439961153
1,entropy,6,40922,0.22153974285706576
1,entropy,7,40922,0.0
1,entropy,8,40922,0.4447355033294802
1,entropy,9,40922,0.17326949277041728
1,kmeans,0,40922,1.1823501174095488
1,kmeans,1,40922,0.2551745950543733
1,kmeans,2,40922,0.26193286174925035
1,kmeans,3,40922,0.0
1,kmeans,4,40922,0.05681202572177705
1,kmeans,5,40922,0.016440080656532245
1,kmeans,6,40922,0.02077928711388067
1,kmeans,7,40922,0.07098422661936228
1,kmeans,8,40922,0.006469690931282371
1,kmeans,9,40922,0.0
1,wkmeans,0,40922,1.4153933944671606
1,wkmeans,1,40922,0.07499453153515923
1,wkmeans,2,40922,0.13848028893714553
1,wkmeans,3,40922,0.0
1,wkmeans,4,40922,0.04119388132581343
1,wkmeans,5,40922,0.0
1,wkmeans,6,40922,0.2705628550260178
1,wkmeans,7,40922,0.1789736330245698
1,wkmeans,8,40922,0.060302806189039125
1,wkmeans,9,40922,0.004961725089640003
2,random,0,40922,0.9699292423704644
2,random,1,40922,0.1685529918737493
2,random,2,40922,0.8444327654962218
2,random,3,40922,0.32476228364639337
2,random,4,40922,0.3580066851029257
2,random,5,40922,0.0731437061291844
2,random,6,40922,0.14706346081179955
2,random,7,40922,0.07438858966839675
2,random,8,40922,0.2072223275562393
2,random,9,40922,0.0
2,margin,0,40922,0.9362864801065778
2,margin,1,40922,0.424980631335154
2,margin,2,40922,0.17402848423281378
2,margin,3,40922,0.004770433070268892
2,margin,4,40922,0.8092650484432484
2,margin,5,40922,0.23877382496256674
2,margin,6,40922,0.08353521711668588
2,margin,7,40922,0.15737991621753036
2,margin,8,40922,0.3331828822259745
2,margin,9,40922,0.1406494027986792
2,confidence,0,40922,0.9362864801065778
2,confidence,1,40922,0.424980631335154
2,confidence,2,40922,0.17402848423281378
2,confidence,3,40922,0.004770433070268892
2,confidence,4,40922,0.8092650484432484
