seed,method,n_iter,dataset,value
0,random,0,40922,0.9204545454545454
0,random,1,40922,0.9318181818181818
0,random,2,40922,0.9659090909090908
0,random,3,40922,0.9772727272727272
0,random,4,40922,0.9886363636363636
0,random,5,40922,0.9431818181818182
0,random,6,40922,0.9545454545454546
0,random,7,40922,0.9431818181818182
0,random,8,40922,0.9886363636363636
0,random,9,40922,0.9659090909090908
0,margin,0,40922,0.2840909090909091
0,margin,1,40922,0.75
0,margin,2,40922,0.4659090909090909
0,margin,3,40922,0.5568181818181818
0,margin,4,40922,0.4318181818181818
0,margin,5,40922,0.6818181818181818
0,margin,6,40922,0.5
0,margin,7,40922,0.3977272727272727
0,margin,8,40922,0.5340909090909091
0,margin,9,40922,0.5113636363636364
0,confidence,0,40922,0.2840909090909091
0,confidence,1,40922,0.75
0,confidence,2,40922,0.4659090909090909
0,confidence,3,40922,0.5568181818181818
0,confidence,4,40922,0.4318181818181818
0,confidence,5,40922,0.6818181818181818
0,confidence,6,40922,0.5
0,confidence,7,40922,0.3977272727272727
0,confidence,8,40922,0.5340909090909091
0,confidence,9,40922,0.5113636363636364
0,entropy,0,40922,0.2840909090909091
0,entropy,1,40922,0.75
0,entropy,2,40922,0.4659090909090909
0,entropy,3,40922,0.5568181818181818
0,entropy,4,40922,0.4318181818181818
0,entropy,5,40922,0.6818181818181818
0,entropy,6,40922,0.5
0,entropy,7,40922,0.3977272727272727
0,entropy,8,40922,0.5340909090909091
0,entropy,9,40922,0.5113636363636364
0,kmeans,0,40922,0.9204545454545454
0,kmeans,1,40922,0.9431818181818182
0,kmeans,2,40922,0.9772727272727272
0,kmeans,3,40922,1.0
0,kmeans,4,40922,0.9659090909090908
0,kmeans,5,40922,0.9659090909090908
0,kmeans,6,40922,0.9545454545454546
0,kmeans,7,40922,1.0
0,kmeans,8,40922,0.9772727272727272
0,kmeans,9,40922,0.9772727272727272
0,wkmeans,0,40922,0.4204545454545454
0,wkmeans,1,40922,0.5113636363636364
0,wkmeans,2,40922,0.5681818181818182
0,wkmeans,3,40922,0.4659090909090909
0,wkmeans,4,40922,0.6363636363636364
0,wkmeans,5,40922,0.7045454545454546
0,wkmeans,6,40922,0.6590909090909091
0,wkmeans,7,40922,0.7272727272727273
0,wkmeans,8,40922,0.6136363636363636
0,wkmeans,9,40922,0.7045454545454546
0,iwkmeans,0,40922,0.4090909090909091
0,iwkmeans,1,40922,0.5909090909090909
0,iwkmeans,2,40922,0.5113636363636364
0,iwkmeans,3,40922,0.5795454545454546
0,iwkmeans,4,40922,0.7727272727272727
0,iwkmeans,5,40922,0.6477272727272727
0,iwkmeans,6,40922,0.5568181818181818
0,iwkmeans,7,40922,0.625
0,iwkmeans,8,40922,0.7045454545454546
0,iwkmeans,9,40922,0.6136363636363636
1,random,0,40922,0.9545454545454546
1,random,1,40922,0.9545454545454546
1,random,2,40922,0.9545454545454546
1,random,3,40922,0.9659090909090908
1,random,4,40922,0.9886363636363636
1,random,5,40922,0.9545454545454546
1,random,6,40922,0.9772727272727272
1,random,7,40922,0.9772727272727272
1,random,8,40922,0.9886363636363636
1,random,9,40922,0.9772727272727272
1,margin,0,40922,0.4090909090909091
1,margin,1,40922,0.6136363636363636
1,margin,2,40922,0.6022727272727273
1,margin,3,40922,0.5454545454545454
1,margin,4,40922,0.4090909090909091
1,margin,5,40922,0.5
1,margin,6,40922,0.5909090909090909
1,margin,7,40922,0.4886363636363636
1,margin,8,40922,0.5340909090909091
