seed,method,n_iter,dataset,value
0,random,0,1502,1.0
0,random,1,1502,1.0
0,random,2,1502,1.0
0,random,3,1502,1.0
0,random,4,1502,1.0
0,random,5,1502,1.0
0,random,6,1502,1.0
0,random,7,1502,1.0
0,random,8,1502,1.0
0,random,9,1502,1.0
0,margin,0,1502,1.0
0,margin,1,1502,1.0
0,margin,2,1502,1.0
0,margin,3,1502,1.0
0,margin,4,1502,1.0
0,margin,5,1502,1.0
0,margin,6,1502,1.0
0,margin,7,1502,1.0
0,margin,8,1502,1.0
0,margin,9,1502,0.9996622762580208
0,confidence,0,1502,1.0
0,confidence,1,1502,1.0
0,confidence,2,1502,1.0
0,confidence,3,1502,1.0
0,confidence,4,1502,1.0
0,confidence,5,1502,1.0
0,confidence,6,1502,1.0
0,confidence,7,1502,1.0
0,confidence,8,1502,1.0
0,confidence,9,1502,0.9996622762580208
0,entropy,0,1502,1.0
0,entropy,1,1502,1.0
0,entropy,2,1502,1.0
0,entropy,3,1502,1.0
0,entropy,4,1502,1.0
0,entropy,5,1502,1.0
0,entropy,6,1502,1.0
0,entropy,7,1502,1.0
0,entropy,8,1502,1.0
0,entropy,9,1502,0.9996622762580208
0,kmeans,0,1502,1.0
0,kmeans,1,1502,1.0
0,kmeans,2,1502,1.0
0,kmeans,3,1502,1.0
0,kmeans,4,1502,1.0
0,kmeans,5,1502,1.0
0,kmeans,6,1502,1.0
0,kmeans,7,1502,1.0
0,kmeans,8,1502,1.0
0,kmeans,9,1502,1.0
0,wkmeans,0,1502,1.0
0,wkmeans,1,1502,1.0
0,wkmeans,2,1502,1.0
0,wkmeans,3,1502,1.0
0,wkmeans,4,1502,1.0
0,wkmeans,5,1502,1.0
0,wkmeans,6,1502,1.0
0,wkmeans,7,1502,1.0
0,wkmeans,8,1502,1.0
0,wkmeans,9,1502,1.0
0,iwkmeans,0,1502,1.0
0,iwkmeans,1,1502,1.0
0,iwkmeans,2,1502,1.0
0,iwkmeans,3,1502,1.0
0,iwkmeans,4,1502,1.0
0,iwkmeans,5,1502,1.0
0,iwkmeans,6,1502,1.0
0,iwkmeans,7,1502,1.0
0,iwkmeans,8,1502,1.0
0,iwkmeans,9,1502,1.0
0,kcenter,0,1502,1.0
0,kcenter,1,1502,1.0
0,kcenter,2,1502,1.0
0,kcenter,3,1502,1.0
0,kcenter,4,1502,1.0
0,kcenter,5,1502,1.0
0,kcenter,6,1502,1.0
0,kcenter,7,1502,1.0
0,kcenter,8,1502,1.0
0,kcenter,9,1502,0.9993830968537939
1,random,0,1502,1.0
1,random,1,1502,1.0
1,random,2,1502,1.0
1,random,3,1502,1.0
1,random,4,1502,1.0
1,random,5,1502,1.0
1,random,6,1502,1.0
1,random,7,1502,1.0
1,random,8,1502,1.0
1,random,9,1502,1.0
1,margin,0,1502,1.0
1,margin,1,1502,1.0
1,margin,2,1502,1.0
1,margin,3,1502,1.0
1,margin,4,1502,1.0
1,margin,5,1502,0.9993544222078761
1,margin,6,1502,1.0
1,margin,7,1502,1.0
1,margin,8,1502,1.0
1,margin,9,1502,1.0
1,confidence,0,1502,1.0
1,confidence,1,1502,1.0
1,confidence,2,1502,1.0
1,confidence,3,1502,1.0
1,confidence,4,1502,1.0
1,confidence,5,1502,0.9993544222078761
1,confidence,6,1502,1.0
1,confidence,7,1502,1.0
1,confidence,8,1502,1.0
1,confidence,9,1502,1.0
1,entropy,0,1502,1.0
1,entropy,1,1502,1.0
1,entropy,2,1502,1.0
1,entropy,3,1502,1.0
1,entropy,4,1502,1.0
1,entropy,5,1502,0.9993544222078761
1,entropy,6,1502,1.0
1,entropy,7,1502,1.0
1,entropy,8,1502,1.0
1,entropy,9,1502,1.0
1,kmeans,0,1502,1.0
1,kmeans,1,1502,1.0
1,kmeans,2,1502,1.0
1,kmeans,3,1502,1.0
1,kmeans,4,1502,1.0
1,kmeans,5,1502,1.0
1,kmeans,6,1502,1.0
1,kmeans,7,1502,1.0
1,kmeans,8,1502,1.0
1,kmeans,9,1502,1.0
1,wkmeans,0,1502,1.0
1,wkmeans,1,1502,1.0
1,wkmeans,2,1502,1.0
1,wkmeans,3,1502,1.0
1,wkmeans,4,1502,1.0
1,wkmeans,5,1502,1.0
1,wkmeans,6,1502,1.0
1,wkmeans,7,1502,1.0
1,wkmeans,8,1502,1.0
1,wkmeans,9,1502,1.0
1,iwkmeans,0,1502,1.0
1,iwkmeans,1,1502,1.0
1,iwkmeans,2,1502,1.0
1,iwkmeans,3,1502,1.0
1,iwkmeans,4,1502,1.0
1,iwkmeans,5,1502,1.0
1,iwkmeans,6,1502,1.0
1,iwkmeans,7,1502,1.0
1,iwkmeans,8,1502,1.0
1,iwkmeans,9,1502,0.9995537706381079
1,kcenter,0,1502,1.0
1,kcenter,1,1502,1.0
1,kcenter,2,1502,1.0
1,kcenter,3,1502,1.0
1,kcenter,4,1502,1.0
1,kcenter,5,1502,1.0
1,kcenter,6,1502,1.0
1,kcenter,7,1502,1.0
1,kcenter,8,1502,1.0
1,kcenter,9,1502,1.0
2,random,0,1502,1.0
2,random,1,1502,1.0
2,random,2,1502,1.0
2,random,3,1502,1.0
2,random,4,1502,1.0
2,random,5,1502,1.0
2,random,6,1502,1.0
2,random,7,1502,1.0
2,random,8,1502,1.0
2,random,9,1502,1.0
2,margin,0,1502,1.0
2,margin,1,1502,1.0
2,margin,2,1502,1.0
2,margin,3,1502,1.0
2,margin,4,1502,0.9993585631815266
2,margin,5,1502,0.9994314951677089
2,margin,6,1502,0.9995477159656264
2,margin,7,1502,0.9991258741258742
2,margin,8,1502,0.9992679355783308
2,margin,9,1502,0.999344262295082
2,confidence,0,1502,1.0
2,confidence,1,1502,1.0
2,confidence,2,1502,1.0
2,confidence,3,1502,1.0
2,confidence,4,1502,0.9993585631815266
2,confidence,5,1502,0.9994314951677089
2,confidence,6,1502,0.9995477159656264
2,confidence,7,1502,0.9991258741258742
2,confidence,8,1502,0.9992679355783308
2,confidence,9,1502,0.999344262295082
2,entropy,0,1502,1.0
2,entropy,1,1502,1.0
2,entropy,2,1502,1.0
2,entropy,3,1502,1.0
2,entropy,4,1502,0.9993585631815266
2,entropy,5,1502,0.9994314951677089
2,entropy,6,1502,0.9995477159656264
2,entropy,7,1502,0.9991258741258742
2,entropy,8,1502,0.9992679355783308
2,entropy,9,1502,0.999344262295082
2,kmeans,0,1502,1.0
2,kmeans,1,1502,1.0
2,kmeans,2,1502,1.0
2,kmeans,3,1502,1.0
2,kmeans,4,1502,1.0
2,kmeans,5,1502,1.0
2,kmeans,6,1502,1.0
2,kmeans,7,1502,1.0
2,kmeans,8,1502,1.0
2,kmeans,9,1502,1.0
2,wkmeans,0,1502,1.0
2,wkmeans,1,1502,1.0
2,wkmeans,2,1502,1.0
2,wkmeans,3,1502,1.0
2,wkmeans,4,1502,1.0
2,wkmeans,5,1502,1.0
2,wkmeans,6,1502,1.0
2,wkmeans,7,1502,1.0
2,wkmeans,8,1502,1.0
2,wkmeans,9,1502,1.0
2,iwkmeans,0,1502,1.0
2,iwkmeans,1,1502,1.0
2,iwkmeans,2,1502,1.0
2,iwkmeans,3,1502,1.0
2,iwkmeans,4,1502,1.0
2,iwkmeans,5,1502,1.0
2,iwkmeans,6,1502,1.0
2,iwkmeans,7,1502,1.0
2,iwkmeans,8,1502,1.0
2,iwkmeans,9,1502,0.9995753715498938
2,kcenter,0,1502,1.0
2,kcenter,1,1502,1.0
2,kcenter,2,1502,1.0
2,kcenter,3,1502,1.0
2,kcenter,4,1502,1.0
2,kcenter,5,1502,1.0
2,kcenter,6,1502,1.0
2,kcenter,7,1502,1.0
2,kcenter,8,1502,1.0
2,kcenter,9,1502,1.0
3,random,0,1502,1.0
3,random,1,1502,1.0
3,random,2,1502,1.0
3,random,3,1502,1.0
3,random,4,1502,1.0
3,random,5,1502,1.0
3,random,6,1502,1.0
3,random,7,1502,1.0
3,random,8,1502,1.0
3,random,9,1502,1.0
3,margin,0,1502,1.0
3,margin,1,1502,1.0
3,margin,2,1502,1.0
3,margin,3,1502,1.0
3,margin,4,1502,1.0
3,margin,5,1502,1.0
3,margin,6,1502,1.0
3,margin,7,1502,1.0
3,margin,8,1502,1.0
3,margin,9,1502,0.9996414485478665
3,confidence,0,1502,1.0
3,confidence,1,1502,1.0
3,confidence,2,1502,1.0
3,confidence,3,1502,1.0
3,confidence,4,1502,1.0
3,confidence,5,1502,1.0
3,confidence,6,1502,1.0
3,confidence,7,1502,1.0
3,confidence,8,1502,1.0
3,confidence,9,1502,0.9996414485478665
3,entropy,0,1502,1.0
3,entropy,1,1502,1.0
3,entropy,2,1502,1.0
3,entropy,3,1502,1.0
3,entropy,4,1502,1.0
3,entropy,5,1502,1.0
3,entropy,6,1502,1.0
3,entropy,7,1502,1.0
3,entropy,8,1502,1.0
3,entropy,9,1502,0.9996414485478665
3,kmeans,0,1502,1.0
3,kmeans,1,1502,1.0
3,kmeans,2,1502,1.0
3,kmeans,3,1502,1.0
3,kmeans,4,1502,1.0
3,kmeans,5,1502,1.0
3,kmeans,6,1502,1.0
3,kmeans,7,1502,1.0
3,kmeans,8,1502,1.0
3,kmeans,9,1502,1.0
3,wkmeans,0,1502,1.0
3,wkmeans,1,1502,1.0
3,wkmeans,2,1502,1.0
3,wkmeans,3,1502,1.0
3,wkmeans,4,1502,1.0
3,wkmeans,5,1502,1.0
3,wkmeans,6,1502,1.0
3,wkmeans,7,1502,1.0
3,wkmeans,8,1502,1.0
3,wkmeans,9,1502,1.0
3,iwkmeans,0,1502,1.0
3,iwkmeans,1,1502,1.0
3,iwkmeans,2,1502,1.0
3,iwkmeans,3,1502,1.0
3,iwkmeans,4,1502,1.0
3,iwkmeans,5,1502,1.0
3,iwkmeans,6,1502,1.0
3,iwkmeans,7,1502,1.0
3,iwkmeans,8,1502,1.0
3,iwkmeans,9,1502,1.0
3,kcenter,0,1502,1.0
3,kcenter,1,1502,1.0
3,kcenter,2,1502,1.0
3,kcenter,3,1502,1.0
3,kcenter,4,1502,1.0
3,kcenter,5,1502,1.0
3,kcenter,6,1502,1.0
3,kcenter,7,1502,1.0
3,kcenter,8,1502,1.0
3,kcenter,9,1502,1.0
4,random,0,1502,1.0
4,random,1,1502,1.0
4,random,2,1502,1.0
4,random,3,1502,1.0
4,random,4,1502,1.0
4,random,5,1502,1.0
4,random,6,1502,1.0
4,random,7,1502,1.0
4,random,8,1502,1.0
4,random,9,1502,1.0
4,margin,0,1502,1.0
4,margin,1,1502,0.9959514170040485
4,margin,2,1502,1.0
4,margin,3,1502,1.0
4,margin,4,1502,1.0
4,margin,5,1502,1.0
4,margin,6,1502,1.0
4,margin,7,1502,0.9995460735360872
4,margin,8,1502,0.9996092223524815
4,margin,9,1502,0.9993127147766323
4,confidence,0,1502,1.0
4,confidence,1,1502,0.9959514170040485
4,confidence,2,1502,1.0
4,confidence,3,1502,1.0
4,confidence,4,1502,1.0
4,confidence,5,1502,1.0
4,confidence,6,1502,1.0
4,confidence,7,1502,0.9995460735360872
4,confidence,8,1502,0.9996092223524815
4,confidence,9,1502,0.9993127147766323
4,entropy,0,1502,1.0
4,entropy,1,1502,0.9959514170040485
4,entropy,2,1502,1.0
4,entropy,3,1502,1.0
4,entropy,4,1502,1.0
4,entropy,5,1502,1.0
4,entropy,6,1502,1.0
4,entropy,7,1502,0.9995460735360872
4,entropy,8,1502,0.9996092223524815
4,entropy,9,1502,0.9993127147766323
4,kmeans,0,1502,1.0
4,kmeans,1,1502,1.0
4,kmeans,2,1502,1.0
4,kmeans,3,1502,1.0
4,kmeans,4,1502,1.0
4,kmeans,5,1502,1.0
4,kmeans,6,1502,1.0
4,kmeans,7,1502,1.0
4,kmeans,8,1502,1.0
4,kmeans,9,1502,1.0
4,wkmeans,0,1502,1.0
4,wkmeans,1,1502,1.0
4,wkmeans,2,1502,1.0
4,wkmeans,3,1502,1.0
4,wkmeans,4,1502,0.9991386735572783
4,wkmeans,5,1502,0.9993174061433447
4,wkmeans,6,1502,0.9994169096209913
4,wkmeans,7,1502,0.9994957135653051
4,wkmeans,8,1502,0.9995553579368608
4,wkmeans,9,1502,0.9996033320111067
4,iwkmeans,0,1502,1.0
4,iwkmeans,1,1502,1.0
4,iwkmeans,2,1502,1.0
4,iwkmeans,3,1502,1.0
4,iwkmeans,4,1502,1.0
4,iwkmeans,5,1502,1.0
4,iwkmeans,6,1502,1.0
4,iwkmeans,7,1502,1.0
4,iwkmeans,8,1502,1.0
4,iwkmeans,9,1502,1.0
4,kcenter,0,1502,1.0
4,kcenter,1,1502,1.0
4,kcenter,2,1502,1.0
4,kcenter,3,1502,1.0
4,kcenter,4,1502,1.0
4,kcenter,5,1502,1.0
4,kcenter,6,1502,1.0
4,kcenter,7,1502,1.0
4,kcenter,8,1502,1.0
4,kcenter,9,1502,1.0
5,random,0,1502,1.0
5,random,1,1502,1.0
5,random,2,1502,1.0
5,random,3,1502,1.0
5,random,4,1502,1.0
5,random,5,1502,1.0
5,random,6,1502,1.0
5,random,7,1502,1.0
5,random,8,1502,1.0
5,random,9,1502,1.0
5,margin,0,1502,1.0
5,margin,1,1502,1.0
5,margin,2,1502,1.0
5,margin,3,1502,1.0
5,margin,4,1502,1.0
5,margin,5,1502,1.0
5,margin,6,1502,1.0
5,margin,7,1502,1.0
5,margin,8,1502,1.0
5,margin,9,1502,0.9996322177271055
5,confidence,0,1502,1.0
5,confidence,1,1502,1.0
5,confidence,2,1502,1.0
5,confidence,3,1502,1.0
5,confidence,4,1502,1.0
5,confidence,5,1502,1.0
5,confidence,6,1502,1.0
5,confidence,7,1502,1.0
5,confidence,8,1502,1.0
5,confidence,9,1502,0.9996322177271055
5,entropy,0,1502,1.0
5,entropy,1,1502,1.0
5,entropy,2,1502,1.0
5,entropy,3,1502,1.0
5,entropy,4,1502,1.0
5,entropy,5,1502,1.0
5,entropy,6,1502,1.0
5,entropy,7,1502,1.0
5,entropy,8,1502,1.0
5,entropy,9,1502,0.9996322177271055
5,kmeans,0,1502,1.0
5,kmeans,1,1502,1.0
5,kmeans,2,1502,1.0
5,kmeans,3,1502,1.0
5,kmeans,4,1502,1.0
5,kmeans,5,1502,1.0
