seed,method,n_iter,dataset,value
0,random,0,41162,0.8611111111111112
0,random,1,41162,0.7916666666666666
0,random,2,41162,0.8194444444444444
0,random,3,41162,0.875
0,random,4,41162,0.8888888888888888
0,random,5,41162,0.9027777777777778
0,random,6,41162,0.9444444444444444
0,random,7,41162,0.8333333333333334
0,random,8,41162,0.8888888888888888
0,random,9,41162,0.9027777777777778
0,margin,0,41162,0.3333333333333333
0,margin,1,41162,0.75
0,margin,2,41162,0.6527777777777778
0,margin,3,41162,0.4722222222222222
0,margin,4,41162,0.18055555555555555
0,margin,5,41162,0.4583333333333333
0,margin,6,41162,0.5555555555555556
0,margin,7,41162,0.5
0,margin,8,41162,0.3611111111111111
0,margin,9,41162,0.5277777777777778
0,confidence,0,41162,0.3333333333333333
0,confidence,1,41162,0.75
0,confidence,2,41162,0.6527777777777778
0,confidence,3,41162,0.4722222222222222
0,confidence,4,41162,0.18055555555555555
0,confidence,5,41162,0.4583333333333333
0,confidence,6,41162,0.5555555555555556
0,confidence,7,41162,0.5
0,confidence,8,41162,0.3611111111111111
0,confidence,9,41162,0.5277777777777778
0,entropy,0,41162,0.3333333333333333
0,entropy,1,41162,0.75
0,entropy,2,41162,0.6527777777777778
0,entropy,3,41162,0.4722222222222222
0,entropy,4,41162,0.18055555555555555
0,entropy,5,41162,0.4583333333333333
0,entropy,6,41162,0.5555555555555556
0,entropy,7,41162,0.5
0,entropy,8,41162,0.3611111111111111
0,entropy,9,41162,0.5277777777777778
0,kmeans,0,41162,0.9305555555555556
0,kmeans,1,41162,0.7916666666666666
0,kmeans,2,41162,0.8888888888888888
0,kmeans,3,41162,0.8194444444444444
0,kmeans,4,41162,0.8888888888888888
0,kmeans,5,41162,0.8472222222222222
0,kmeans,6,41162,0.8333333333333334
0,kmeans,7,41162,0.8888888888888888
0,kmeans,8,41162,0.8472222222222222
0,kmeans,9,41162,0.875
0,wkmeans,0,41162,0.5972222222222222
0,wkmeans,1,41162,0.5277777777777778
0,wkmeans,2,41162,0.5833333333333334
0,wkmeans,3,41162,0.5277777777777778
0,wkmeans,4,41162,0.5
0,wkmeans,5,41162,0.5
0,wkmeans,6,41162,0.6111111111111112
0,wkmeans,7,41162,0.6527777777777778
0,wkmeans,8,41162,0.5138888888888888
0,wkmeans,9,41162,0.625
0,iwkmeans,0,41162,0.6388888888888888
0,iwkmeans,1,41162,0.375
0,iwkmeans,2,41162,0.4722222222222222
0,iwkmeans,3,41162,0.5
0,iwkmeans,4,41162,0.4861111111111111
0,iwkmeans,5,41162,0.5
0,iwkmeans,6,41162,0.5833333333333334
0,iwkmeans,7,41162,0.625
0,iwkmeans,8,41162,0.5972222222222222
0,iwkmeans,9,41162,0.625
1,random,0,41162,0.8472222222222222
1,random,1,41162,0.9166666666666666
1,random,2,41162,0.8333333333333334
1,random,3,41162,0.8888888888888888
1,random,4,41162,0.8194444444444444
1,random,5,41162,0.8472222222222222
1,random,6,41162,0.8472222222222222
1,random,7,41162,0.7638888888888888
1,random,8,41162,0.75
1,random,9,41162,0.8472222222222222
1,margin,0,41162,0.5694444444444444
1,margin,1,41162,0.4166666666666667
1,margin,2,41162,0.5277777777777778
1,margin,3,41162,0.4444444444444444
1,margin,4,41162,0.4861111111111111
1,margin,5,41162,0.16666666666666666
1,margin,6,41162,0.5555555555555556
1,margin,7,41162,0.5138888888888888
1,margin,8,41162,0.5416666666666666
1,margin,9,41162,0.6111111111111112
1,confidence,0,41162,0.5694444444444444
1,confidence,1,41162,0.4166666666666667
1,confidence,2,41162,0.5277777777777778
1,confidence,3,41162,0.4444444444444444
1,confidence,4,41162,0.4861111111111111
1,confidence,5,41162,0.16666666666666666
1,confidence,6,41162,0.5555555555555556
1,confidence,7,41162,0.5138888888888888
1,confidence,8,41162,0.5416666666666666
1,confidence,9,41162,0.6111111111111112
1,entropy,0,41162,0.5694444444444444
1,entropy,1,41162,0.4166666666666667
1,entropy,2,41162,0.5277777777777778
1,entropy,3,41162,0.4444444444444444
1,entropy,4,41162,0.4861111111111111
1,entropy,5,41162,0.16666666666666666
1,entropy,6,41162,0.5555555555555556
1,entropy,7,41162,0.5138888888888888
1,entropy,8,41162,0.5416666666666666
1,entropy,9,41162,0.6111111111111112
1,kmeans,0,41162,0.875
1,kmeans,1,41162,0.7916666666666666
1,kmeans,2,41162,0.8472222222222222
1,kmeans,3,41162,0.8611111111111112
1,kmeans,4,41162,0.9027777777777778
1,kmeans,5,41162,0.875
1,kmeans,6,41162,0.9027777777777778
1,kmeans,7,41162,0.8888888888888888
1,kmeans,8,41162,0.9027777777777778
1,kmeans,9,41162,0.9444444444444444
1,wkmeans,0,41162,0.5694444444444444
1,wkmeans,1,41162,0.4861111111111111
1,wkmeans,2,41162,0.4722222222222222
1,wkmeans,3,41162,0.6111111111111112
1,wkmeans,4,41162,0.3611111111111111
1,wkmeans,5,41162,0.7222222222222222
1,wkmeans,6,41162,0.625
1,wkmeans,7,41162,0.5972222222222222
1,wkmeans,8,41162,0.5833333333333334
1,wkmeans,9,41162,0.7916666666666666
1,iwkmeans,0,41162,0.3333333333333333
1,iwkmeans,1,41162,0.4027777777777778
1,iwkmeans,2,41162,0.625
1,iwkmeans,3,41162,0.5416666666666666
1,iwkmeans,4,41162,0.5833333333333334
1,iwkmeans,5,41162,0.5138888888888888
1,iwkmeans,6,41162,0.6111111111111112
1,iwkmeans,7,41162,0.7361111111111112
1,iwkmeans,8,41162,0.5277777777777778
1,iwkmeans,9,41162,0.6388888888888888
2,random,0,41162,0.8472222222222222
2,random,1,41162,0.9027777777777778
2,random,2,41162,0.7777777777777778
2,random,3,41162,0.8611111111111112
2,random,4,41162,0.8472222222222222
2,random,5,41162,0.875
2,random,6,41162,0.8194444444444444
2,random,7,41162,0.875
2,random,8,41162,0.8472222222222222
2,random,9,41162,0.9027777777777778
2,margin,0,41162,0.4027777777777778
2,margin,1,41162,0.4027777777777778
2,margin,2,41162,0.3611111111111111
2,margin,3,41162,0.5
2,margin,4,41162,0.4583333333333333
2,margin,5,41162,0.5972222222222222
2,margin,6,41162,0.5277777777777778
2,margin,7,41162,0.4861111111111111
2,margin,8,41162,0.5277777777777778
2,margin,9,41162,0.5
2,confidence,0,41162,0.4027777777777778
2,confidence,1,41162,0.4027777777777778
2,confidence,2,41162,0.3611111111111111
2,confidence,3,41162,0.5
2,confidence,4,41162,0.4583333333333333
2,confidence,5,41162,0.5972222222222222
2,confidence,6,41162,0.5277777777777778
2,confidence,7,41162,0.4861111111111111
2,confidence,8,41162,0.5277777777777778
2,confidence,9,41162,0.5
2,entropy,0,41162,0.4027777777777778
2,entropy,1,41162,0.4027777777777778
2,entropy,2,41162,0.3611111111111111
2,entropy,3,41162,0.5
2,entropy,4,41162,0.4583333333333333
2,entropy,5,41162,0.5972222222222222
2,entropy,6,41162,0.5277777777777778
2,entropy,7,41162,0.4861111111111111
2,entropy,8,41162,0.5277777777777778
2,entropy,9,41162,0.5
2,kmeans,0,41162,0.8611111111111112
2,kmeans,1,41162,0.8888888888888888
2,kmeans,2,41162,0.8611111111111112
2,kmeans,3,41162,0.8611111111111112
2,kmeans,4,41162,0.8472222222222222
2,kmeans,5,41162,0.8888888888888888
2,kmeans,6,41162,0.9444444444444444
2,kmeans,7,41162,0.8611111111111112
