seed,method,n_iter,dataset,value
0,random,0,43551,1.0
0,random,1,43551,1.0
0,random,2,43551,1.0
0,random,3,43551,1.0
0,random,4,43551,1.0
0,random,5,43551,1.0
0,random,6,43551,1.0
0,random,7,43551,1.0
0,random,8,43551,1.0
0,random,9,43551,1.0
0,margin,0,43551,1.0
0,margin,1,43551,1.0
0,margin,2,43551,1.0
0,margin,3,43551,1.0
0,margin,4,43551,1.0
0,margin,5,43551,1.0
0,margin,6,43551,1.0
0,margin,7,43551,1.0
0,margin,8,43551,1.0
0,margin,9,43551,1.0
0,confidence,0,43551,1.0
0,confidence,1,43551,1.0
0,confidence,2,43551,1.0
0,confidence,3,43551,1.0
0,confidence,4,43551,1.0
0,confidence,5,43551,1.0
0,confidence,6,43551,1.0
0,confidence,7,43551,1.0
0,confidence,8,43551,0.9901960784313726
0,confidence,9,43551,0.9941176470588236
0,entropy,0,43551,1.0
0,entropy,1,43551,1.0
0,entropy,2,43551,1.0
0,entropy,3,43551,1.0
0,entropy,4,43551,1.0
0,entropy,5,43551,1.0
0,entropy,6,43551,0.9957983193277311
0,entropy,7,43551,1.0
0,entropy,8,43551,0.9934640522875817
0,entropy,9,43551,0.9882352941176471
0,kmeans,0,43551,1.0
0,kmeans,1,43551,1.0
0,kmeans,2,43551,1.0
0,kmeans,3,43551,1.0
0,kmeans,4,43551,1.0
0,kmeans,5,43551,0.9901960784313726
0,kmeans,6,43551,0.9873949579831933
0,kmeans,7,43551,0.9889705882352942
0,kmeans,8,43551,0.9803921568627451
0,kmeans,9,43551,0.9764705882352941
0,wkmeans,0,43551,1.0
0,wkmeans,1,43551,1.0
0,wkmeans,2,43551,1.0
0,wkmeans,3,43551,1.0
0,wkmeans,4,43551,1.0
0,wkmeans,5,43551,1.0
0,wkmeans,6,43551,1.0
0,wkmeans,7,43551,1.0
0,wkmeans,8,43551,1.0
0,wkmeans,9,43551,1.0
1,random,0,43551,1.0
1,random,1,43551,1.0
1,random,2,43551,1.0
1,random,3,43551,1.0
1,random,4,43551,1.0
1,random,5,43551,1.0
1,random,6,43551,1.0
1,random,7,43551,1.0
1,random,8,43551,1.0
1,random,9,43551,1.0
1,margin,0,43551,1.0
1,margin,1,43551,1.0
1,margin,2,43551,1.0
1,margin,3,43551,1.0
1,margin,4,43551,1.0
1,margin,5,43551,1.0
1,margin,6,43551,1.0
1,margin,7,43551,0.9963235294117647
1,margin,8,43551,0.9967320261437909
1,margin,9,43551,0.9941176470588236
