seed,method,n_iter,dataset,value
0,random,0,1502,0.48078474732123355
0,random,1,1502,1.0083009276846258
0,random,2,1502,1.5577152702330217
0,random,3,1502,2.2354454555496894
0,random,4,1502,2.6387382315014047
0,random,5,1502,3.1126548358653174
0,random,6,1502,3.5775665584333405
0,random,7,1502,4.013279043646857
0,random,8,1502,4.334128780513047
0,random,9,1502,5.274971778004002
0,margin,0,1502,0.48078474732123355
0,margin,1,1502,0.2835746369392347
0,margin,2,1502,0.5594986224607406
0,margin,3,1502,0.7518936245131977
0,margin,4,1502,1.0034097540137068
0,margin,5,1502,1.2597383051845248
0,margin,6,1502,1.3475634569949824
0,margin,7,1502,1.4848117936986267
0,margin,8,1502,1.6230520148915162
0,margin,9,1502,1.7881911702248319
0,confidence,0,1502,0.48078474732123355
0,confidence,1,1502,0.2835746369392347
0,confidence,2,1502,0.5594986224607406
0,confidence,3,1502,0.7518936245131977
0,confidence,4,1502,1.0034097540137068
0,confidence,5,1502,1.2597383051845248
0,confidence,6,1502,1.3475634569949824
0,confidence,7,1502,1.4848117936986267
0,confidence,8,1502,1.6230520148915162
0,confidence,9,1502,1.7881911702248319
0,entropy,0,1502,0.48078474732123355
0,entropy,1,1502,0.2835746369392347
0,entropy,2,1502,0.5594986224607406
0,entropy,3,1502,0.7518936245131977
0,entropy,4,1502,1.0034097540137068
0,entropy,5,1502,1.2597383051845248
0,entropy,6,1502,1.3475634569949824
0,entropy,7,1502,1.4848117936986267
0,entropy,8,1502,1.6230520148915162
0,entropy,9,1502,1.7881911702248319
0,kmeans,0,1502,0.48078474732123355
0,kmeans,1,1502,1.0737669401297758
0,kmeans,2,1502,1.7621636704379056
0,kmeans,3,1502,2.0775849692852284
0,kmeans,4,1502,2.7097599223816022
0,kmeans,5,1502,3.3016683898170007
0,kmeans,6,1502,3.9649795140220894
0,kmeans,7,1502,4.400304940086222
0,kmeans,8,1502,5.068686699480981
0,kmeans,9,1502,5.606211500718982
0,wkmeans,0,1502,0.48078474732123355
0,wkmeans,1,1502,0.2650129956618783
0,wkmeans,2,1502,0.6452199060048465
0,wkmeans,3,1502,0.8086438110347622
0,wkmeans,4,1502,1.078328499971467
0,wkmeans,5,1502,1.1153085273842889
0,wkmeans,6,1502,1.1143004183140663
0,wkmeans,7,1502,1.1329761726426577
0,wkmeans,8,1502,1.151638446150287
0,wkmeans,9,1502,1.182774857442355
1,random,0,1502,0.5351669021895472
1,random,1,1502,1.0755049943178225
1,random,2,1502,1.6527847312199402
1,random,3,1502,2.1109326395983175
1,random,4,1502,2.928323691485243
1,random,5,1502,3.687583421921163
1,random,6,1502,3.772725078129078
1,random,7,1502,4.366393827295469
1,random,8,1502,4.8267376463982155
1,random,9,1502,5.193765475341861
1,margin,0,1502,0.5351669021895472
1,margin,1,1502,0.6076949659159468
1,margin,2,1502,0.6938070855213938
1,margin,3,1502,1.1797496812480557
1,margin,4,1502,1.2246840460219595
1,margin,5,1502,1.1011670800326403
1,margin,6,1502,1.0167983844967061
1,margin,7,1502,1.3958570324108923
1,margin,8,1502,1.6760862363919722
1,margin,9,1502,2.0895639186157458
1,confidence,0,1502,0.5351669021895472
1,confidence,1,1502,0.6076949659159468
1,confidence,2,1502,0.6938070855213938
1,confidence,3,1502,1.1801686868069252
1,confidence,4,1502,1.1765987198670995
1,confidence,5,1502,1.3232743672264835
1,confidence,6,1502,1.722196860729196
1,confidence,7,1502,2.0560603742803973
1,confidence,8,1502,2.624808919256241
1,confidence,9,1502,2.3071257593394687
1,entropy,0,1502,0.5351669021895472
1,entropy,1,1502,0.6076949659159468
1,entropy,2,1502,0.6938070855213938
1,entropy,3,1502,1.1801686868069252
1,entropy,4,1502,1.1765987198670995
1,entropy,5,1502,1.2733080805975823
1,entropy,6,1502,1.5708150028741856
1,entropy,7,1502,1.9947769578845185
1,entropy,8,1502,2.209148499520144
1,entropy,9,1502,2.7570410848012923
1,kmeans,0,1502,0.5351669021895472
1,kmeans,1,1502,1.1463300471198918
1,kmeans,2,1502,1.6092044788800446
1,kmeans,3,1502,2.3021649919151446
1,kmeans,4,1502,3.1475491737965022
1,kmeans,5,1502,3.6841791190069086
1,kmeans,6,1502,4.218645369278866
1,kmeans,7,1502,4.85596815924285
1,kmeans,8,1502,5.286344004122923
1,kmeans,9,1502,5.890199926079264
1,wkmeans,0,1502,0.5351669021895472
1,wkmeans,1,1502,0.535558895189104
1,wkmeans,2,1502,0.7054349716380247
1,wkmeans,3,1502,0.703796422681598
1,wkmeans,4,1502,0.7374826042452154
1,wkmeans,5,1502,0.7558441598638964
1,wkmeans,6,1502,0.8242420152328536
1,wkmeans,7,1502,0.8282702370862279
1,wkmeans,8,1502,0.8139302170431574
1,wkmeans,9,1502,0.8338950636864247
2,random,0,1502,0.7577014007749545
2,random,1,1502,1.4028113943001175
2,random,2,1502,1.8405529624326336
2,random,3,1502,2.3436817461120913
2,random,4,1502,2.9498395026748794
2,random,5,1502,3.421717673396899
2,random,6,1502,4.078931287481022
2,random,7,1502,4.752532646377011
2,random,8,1502,5.172809019695312
2,random,9,1502,6.056213091798754
2,margin,0,1502,0.7577014007749545
2,margin,1,1502,0.7055091662919517
2,margin,2,1502,0.9984263439657509
2,margin,3,1502,0.7589551567227161
2,margin,4,1502,0.8824497901525632
2,margin,5,1502,1.2019023192466203
2,margin,6,1502,1.4826166148745872
2,margin,7,1502,1.6076671373035645
2,margin,8,1502,1.7562031936786031
2,margin,9,1502,1.834646188003835
2,confidence,0,1502,0.7577014007749545
2,confidence,1,1502,0.7055091662919517
2,confidence,2,1502,0.9984263439657509
2,confidence,3,1502,0.7589551567227161
2,confidence,4,1502,0.8824497901525632
2,confidence,5,1502,1.2019023192466203
2,confidence,6,1502,1.4826166148745872
2,confidence,7,1502,1.6076671373035645
2,confidence,8,1502,1.7562031936786031
2,confidence,9,1502,1.834646188003835
2,entropy,0,1502,0.7577014007749545
2,entropy,1,1502,0.7055091662919517
2,entropy,2,1502,0.9984263439657509
2,entropy,3,1502,0.7589551567227161
2,entropy,4,1502,0.8824497901525632
2,entropy,5,1502,1.2019023192466203
2,entropy,6,1502,1.4826166148745872
2,entropy,7,1502,1.6076671373035645
2,entropy,8,1502,1.7562031936786031
2,entropy,9,1502,1.834646188003835
2,kmeans,0,1502,0.7577014007749545
2,kmeans,1,1502,1.4107022689579543
2,kmeans,2,1502,1.879444417544861
2,kmeans,3,1502,2.753329630122977
2,kmeans,4,1502,3.287020494754006
2,kmeans,5,1502,3.9626311598484536
2,kmeans,6,1502,4.539435339279558
2,kmeans,7,1502,4.889590233742834
2,kmeans,8,1502,5.5006453365401775
2,kmeans,9,1502,5.975677893888216
2,wkmeans,0,1502,0.7577014007749545
2,wkmeans,1,1502,0.3903683279167123
2,wkmeans,2,1502,0.6213479315832054
2,wkmeans,3,1502,0.667232986719838
2,wkmeans,4,1502,0.8796891916984353
2,wkmeans,5,1502,0.9471144510803844
2,wkmeans,6,1502,0.9740176716035616
2,wkmeans,7,1502,1.0590614500850712
2,wkmeans,8,1502,1.0802565840578788
2,wkmeans,9,1502,1.0821529052329721
3,random,0,1502,0.7139860640304545
3,random,1,1502,1.4425578807298771
3,random,2,1502,1.885186068468817
3,random,3,1502,2.36790773429422
3,random,4,1502,2.575355891295152
3,random,5,1502,3.2347315626959423
3,random,6,1502,3.6233639694532953
3,random,7,1502,4.2637584027128765
3,random,8,1502,5.026298783795757
3,random,9,1502,5.833782543541371
3,margin,0,1502,0.7139860640304545
3,margin,1,1502,0.12950237338762108
3,margin,2,1502,0.0
3,margin,3,1502,0.0
3,margin,4,1502,0.0
3,margin,5,1502,0.3509816800816443
3,margin,6,1502,1.71937967523475
3,margin,7,1502,2.5545782544383577
3,margin,8,1502,3.302363603678904
3,margin,9,1502,3.5519391333186214
3,confidence,0,1502,0.7139860640304545
3,confidence,1,1502,0.12950237338762108
3,confidence,2,1502,0.0
3,confidence,3,1502,0.0
3,confidence,4,1502,0.0
3,confidence,5,1502,0.3509816800816443
3,confidence,6,1502,1.71937967523475
3,confidence,7,1502,2.5545782544383577
3,confidence,8,1502,3.302363603678904
3,confidence,9,1502,3.5519391333186214
3,entropy,0,1502,0.7139860640304545
3,entropy,1,1502,0.12950237338762108
3,entropy,2,1502,0.0
3,entropy,3,1502,0.0
3,entropy,4,1502,0.0
3,entropy,5,1502,0.3509816800816443
3,entropy,6,1502,1.71937967523475
3,entropy,7,1502,2.5545782544383577
3,entropy,8,1502,3.302363603678904
3,entropy,9,1502,3.5519391333186214
3,kmeans,0,1502,0.7139860640304545
3,kmeans,1,1502,0.9341882883809329
3,kmeans,2,1502,1.7022220539528918
3,kmeans,3,1502,2.406676670457058
3,kmeans,4,1502,2.7836714948033596
3,kmeans,5,1502,3.38850972426245
3,kmeans,6,1502,4.102543488846508
3,kmeans,7,1502,4.774695196095934
3,kmeans,8,1502,5.377895367148801
3,kmeans,9,1502,5.98671513976886
3,wkmeans,0,1502,0.7139860640304545
3,wkmeans,1,1502,0.05193344880099448
3,wkmeans,2,1502,0.0
3,wkmeans,3,1502,0.0
3,wkmeans,4,1502,0.062390736507822064
3,wkmeans,5,1502,1.3247310185668386
3,wkmeans,6,1502,2.7139413800103958
3,wkmeans,7,1502,3.1891509420785327
3,wkmeans,8,1502,4.143394373427614
3,wkmeans,9,1502,4.72932965786597
4,random,0,1502,0.4875118293444808
4,random,1,1502,0.9656023740341829
4,random,2,1502,1.6369933857491412
4,random,3,1502,2.272645492917982
4,random,4,1502,3.0191433243973407
4,random,5,1502,3.808903967534187
4,random,6,1502,4.524645063832207
4,random,7,1502,5.4269736328291085
4,random,8,1502,5.77386264484704
4,random,9,1502,6.477468918232697
4,margin,0,1502,0.4875118293444808
4,margin,1,1502,0.25309869689343706
4,margin,2,1502,0.5204341861800095
4,margin,3,1502,0.6603039693384521
4,margin,4,1502,0.8790402327532777
4,margin,5,1502,1.1298915255531814
4,margin,6,1502,1.1701273068130402
4,margin,7,1502,1.0848138264466023
4,margin,8,1502,1.1507727924168358
4,margin,9,1502,1.2934562496094786
4,confidence,0,1502,0.4875118293444808
4,confidence,1,1502,0.25309869689343706
4,confidence,2,1502,0.5204341861800095
4,confidence,3,1502,0.6603039693384521
4,confidence,4,1502,0.8790402327532777
4,confidence,5,1502,1.1298915255531814
4,confidence,6,1502,1.1701273068130402
4,confidence,7,1502,1.0848138264466023
4,confidence,8,1502,1.1507727924168358
4,confidence,9,1502,1.2934562496094786
4,entropy,0,1502,0.4875118293444808
4,entropy,1,1502,0.25309869689343706
4,entropy,2,1502,0.5204341861800095
4,entropy,3,1502,0.6603039693384521
4,entropy,4,1502,0.8790402327532777
4,entropy,5,1502,1.1298915255531814
4,entropy,6,1502,1.1701273068130402
4,entropy,7,1502,1.0848138264466023
4,entropy,8,1502,1.1507727924168358
4,entropy,9,1502,1.2934562496094786
4,kmeans,0,1502,0.4875118293444808
4,kmeans,1,1502,1.0852464973816078
4,kmeans,2,1502,1.6521992783303632
4,kmeans,3,1502,2.034843148548995
4,kmeans,4,1502,2.7346236954438368
4,kmeans,5,1502,3.4674167862453382
4,kmeans,6,1502,4.175675760323922
4,kmeans,7,1502,4.742323978204398
4,kmeans,8,1502,5.371003219791401
4,kmeans,9,1502,6.088575169485947
4,wkmeans,0,1502,0.4875118293444808
4,wkmeans,1,1502,0.17841746295833194
4,wkmeans,2,1502,0.38786036231637827
4,wkmeans,3,1502,0.5772980033296311
4,wkmeans,4,1502,0.5738167470274728
4,wkmeans,5,1502,0.5346283412798812
4,wkmeans,6,1502,0.6744013974099579
4,wkmeans,7,1502,0.5658594814131734
4,wkmeans,8,1502,0.5835807480253646
4,wkmeans,9,1502,0.619510058369493
5,random,0,1502,0.4808184248370153
5,random,1,1502,0.974605346462294
5,random,2,1502,1.460056642583878
5,random,3,1502,2.062925665237782
5,random,4,1502,2.4192125376135016
5,random,5,1502,2.917739206597414
5,random,6,1502,3.815191323277749
5,random,7,1502,4.51485504978769
5,random,8,1502,5.491311095008671
5,random,9,1502,5.768612470585589
5,margin,0,1502,0.4808184248370153
5,margin,1,1502,0.14362315129869493
5,margin,2,1502,0.21629566242032625
5,margin,3,1502,0.3228626185422256
5,margin,4,1502,0.6306172939530972
5,margin,5,1502,0.8391874284828831
