seed,method,n_iter,dataset,value
0,random,0,1471,0.0
0,random,1,1471,0.0
0,random,2,1471,0.012041772336668612
0,random,3,1471,0.05834484736680352
0,random,4,1471,0.07262963052430756
0,random,5,1471,0.08034406922681761
0,random,6,1471,0.09374611570063349
0,random,7,1471,0.09261754623245318
0,random,8,1471,0.14460283797154364
0,random,9,1471,0.19409184070792848
0,margin,0,1471,0.0
0,margin,1,1471,0.0
0,margin,2,1471,0.05880117189990323
0,margin,3,1471,0.12338407104453883
0,margin,4,1471,0.16713386317874868
0,margin,5,1471,0.18715831367965374
0,margin,6,1471,0.2203589693138788
0,margin,7,1471,0.21685630963570288
0,margin,8,1471,0.2408077923952631
0,margin,9,1471,0.2534625746394277
0,confidence,0,1471,0.0
0,confidence,1,1471,0.0
0,confidence,2,1471,0.05880117189990323
0,confidence,3,1471,0.12338407104453883
0,confidence,4,1471,0.16713386317874868
0,confidence,5,1471,0.18715831367965374
0,confidence,6,1471,0.2203589693138788
0,confidence,7,1471,0.21685630963570288
0,confidence,8,1471,0.2408077923952631
0,confidence,9,1471,0.2534625746394277
0,entropy,0,1471,0.0
0,entropy,1,1471,0.0
0,entropy,2,1471,0.05880117189990323
0,entropy,3,1471,0.12338407104453883
0,entropy,4,1471,0.16713386317874868
0,entropy,5,1471,0.18715831367965374
0,entropy,6,1471,0.2203589693138788
0,entropy,7,1471,0.21685630963570288
0,entropy,8,1471,0.2408077923952631
0,entropy,9,1471,0.2534625746394277
0,kmeans,0,1471,0.0
0,kmeans,1,1471,0.0
0,kmeans,2,1471,0.010048942603541378
0,kmeans,3,1471,0.022342039305315163
0,kmeans,4,1471,0.02901697395060834
0,kmeans,5,1471,0.03997655814664569
0,kmeans,6,1471,0.05268468116093119
0,kmeans,7,1471,0.07110896208395054
0,kmeans,8,1471,0.038854687315939315
0,kmeans,9,1471,0.048654237194839536
0,wkmeans,0,1471,0.0
0,wkmeans,1,1471,0.0
0,wkmeans,2,1471,0.024043689247402144
0,wkmeans,3,1471,0.039232919879102476
0,wkmeans,4,1471,0.07736440118293257
0,wkmeans,5,1471,0.07089907461620387
0,wkmeans,6,1471,0.05281002302527195
0,wkmeans,7,1471,0.06434280262376416
0,wkmeans,8,1471,0.07296424813297694
0,wkmeans,9,1471,0.07010545083808632
1,random,0,1471,0.0
1,random,1,1471,0.0
1,random,2,1471,0.0
1,random,3,1471,0.02341516244086746
1,random,4,1471,0.09236469162061496
1,random,5,1471,0.14602917793911757
1,random,6,1471,0.21470381465590777
1,random,7,1471,0.2651753208330157
1,random,8,1471,0.20659435182226377
1,random,9,1471,0.2019997553847529
1,margin,0,1471,0.0
1,margin,1,1471,0.0
1,margin,2,1471,0.013572018849644384
1,margin,3,1471,0.011339797140358973
