seed,method,n_iter,dataset,value
0,random,0,1461,1.4799215339312874
0,random,1,1461,1.4226015833354517
0,random,2,1461,1.366339467907472
0,random,3,1461,1.3755398345470589
0,random,4,1461,1.3438546601530703
0,random,5,1461,1.3332904279474642
0,random,6,1461,1.338918790931438
0,random,7,1461,1.320396061975089
0,random,8,1461,1.3243655150466962
0,random,9,1461,1.3179969185892764
0,margin,0,1461,1.4799215339312874
0,margin,1,1461,1.8345921545657462
0,margin,2,1461,1.8865769218237363
0,margin,3,1461,1.902646354207842
0,margin,4,1461,1.8922740514573364
0,margin,5,1461,1.870871192102122
0,margin,6,1461,1.9031072294314935
0,margin,7,1461,1.895759959153931
0,margin,8,1461,1.888562603812495
0,margin,9,1461,1.8839914599454342
0,confidence,0,1461,1.4799215339312874
0,confidence,1,1461,1.8286539923719782
0,confidence,2,1461,1.8315010171282995
0,confidence,3,1461,1.8259903064035503
0,confidence,4,1461,1.8548847978873668
0,confidence,5,1461,1.860411589794544
0,confidence,6,1461,1.8776884764870612
0,confidence,7,1461,1.8887350934472642
0,confidence,8,1461,1.8958450660923731
0,confidence,9,1461,1.888894398682534
0,entropy,0,1461,1.4799215339312874
0,entropy,1,1461,1.8345921545657462
0,entropy,2,1461,1.8865769218237363
0,entropy,3,1461,1.902646354207842
0,entropy,4,1461,1.8922740514573364
0,entropy,5,1461,1.870871192102122
0,entropy,6,1461,1.9031072294314935
0,entropy,7,1461,1.895759959153931
0,entropy,8,1461,1.888562603812495
0,entropy,9,1461,1.8839914599454342
0,kmeans,0,1461,1.4799215339312874
0,kmeans,1,1461,1.2060068320429804
0,kmeans,2,1461,1.1402177573547776
0,kmeans,3,1461,1.1003113822486792
0,kmeans,4,1461,1.0723342373211877
0,kmeans,5,1461,1.0681740486525364
0,kmeans,6,1461,1.0668573823958551
0,kmeans,7,1461,1.0582023254971078
0,kmeans,8,1461,1.0437455622395064
0,kmeans,9,1461,1.0501439583501193
0,wkmeans,0,1461,1.4799215339312874
0,wkmeans,1,1461,1.9387547175012767
0,wkmeans,2,1461,2.000011426008235
0,wkmeans,3,1461,2.0212776736482927
0,wkmeans,4,1461,2.0142359149489857
0,wkmeans,5,1461,2.0247168118391747
0,wkmeans,6,1461,2.044515888503432
0,wkmeans,7,1461,2.0266073371033877
0,wkmeans,8,1461,2.0272494457563965
0,wkmeans,9,1461,2.02170145640138
