seed,method,n_iter,dataset,value
0,random,0,1461,1.5073342877369034
0,random,1,1461,1.751788436309554
0,random,2,1461,1.52356978304703
0,random,3,1461,1.4777434087587902
0,random,4,1461,1.4313819071644451
0,random,5,1461,1.4721067706740096
0,random,6,1461,1.4528269407520875
0,random,7,1461,1.4612787597610934
0,random,8,1461,1.4581766668038973
0,random,9,1461,1.454070561361908
0,margin,0,1461,1.5073342877369034
0,margin,1,1461,1.1766139381600509
0,margin,2,1461,1.128320946506578
0,margin,3,1461,1.0777683965607263
0,margin,4,1461,1.070975876083124
0,margin,5,1461,1.056398402823883
0,margin,6,1461,1.0534836736556665
0,margin,7,1461,1.0499719535132215
0,margin,8,1461,1.044392295122204
0,margin,9,1461,1.0422792320053103
0,confidence,0,1461,1.5073342877369034
0,confidence,1,1461,1.1778195824949693
0,confidence,2,1461,1.0972072737018421
0,confidence,3,1461,1.078798010156388
0,confidence,4,1461,1.0631804854625109
0,confidence,5,1461,1.0624823452971968
0,confidence,6,1461,1.0604987642801522
0,confidence,7,1461,1.0560112503214172
0,confidence,8,1461,1.0430632550417416
0,confidence,9,1461,1.0397714797596496
0,entropy,0,1461,1.5073342877369034
0,entropy,1,1461,1.1766139381600509
0,entropy,2,1461,1.128320946506578
0,entropy,3,1461,1.0777683965607263
0,entropy,4,1461,1.070975876083124
0,entropy,5,1461,1.056398402823883
0,entropy,6,1461,1.0534836736556665
0,entropy,7,1461,1.0499719535132215
0,entropy,8,1461,1.044392295122204
0,entropy,9,1461,1.0422792320053103
0,kmeans,0,1461,1.5073342877369034
0,kmeans,1,1461,1.7593580020940929
0,kmeans,2,1461,1.6616768331815617
0,kmeans,3,1461,1.7550223993355694
0,kmeans,4,1461,1.8294243590709327
0,kmeans,5,1461,1.8547165909579184
0,kmeans,6,1461,1.7796200469583618
0,kmeans,7,1461,1.7990061670765332
0,kmeans,8,1461,1.8409484743652442
0,kmeans,9,1461,1.8835210953732984
0,wkmeans,0,1461,1.5073342877369034
0,wkmeans,1,1461,1.17518079510959
0,wkmeans,2,1461,1.113578185905957
0,wkmeans,3,1461,1.0804407694112668
0,wkmeans,4,1461,1.070312093444478
0,wkmeans,5,1461,1.0599301292853387
0,wkmeans,6,1461,1.053621454838162
0,wkmeans,7,1461,1.0483182168051748
0,wkmeans,8,1461,1.037796822276104
0,wkmeans,9,1461,1.0383109031933089
